,data_mes,satelite,bioma,qtd
186,2014-04-01,AQUA_M-T,Pampa,50
187,2014-04-01,AQUA_M-T,Pantanal,55
188,2014-04-01,NPP-375,Amazônia,3359
189,2014-04-01,NPP-375,Caatinga,969
190,2014-04-01,NPP-375,Cerrado,3003
191,2014-04-01,NPP-375,Mata Atlântica,2602
192,2014-04-01,NPP-375,Pampa,265
193,2014-04-01,NPP-375,Pantanal,420
194,2014-04-01,NPP-375,,1
195,2014-05-01,AQUA_M-T,Amazônia,673
196,2014-05-01,AQUA_M-T,Caatinga,74
197,2014-05-01,AQUA_M-T,Cerrado,1673
198,2014-05-01,AQUA_M-T,Mata Atlântica,445
199,2014-05-01,AQUA_M-T,Pampa,50
200,2014-05-01,AQUA_M-T,Pantanal,16
201,2014-05-01,NPP-375,Amazônia,4159
202,2014-05-01,NPP-375,Caatinga,745
203,2014-05-01,NPP-375,Cerrado,9229
204,2014-05-01,NPP-375,Mata Atlântica,2942
205,2014-05-01,NPP-375,Pampa,212
206,2014-05-01,NPP-375,Pantanal,76
207,2014-06-01,AQUA_M-T,Amazônia,1628
208,2014-06-01,AQUA_M-T,Caatinga,168
209,2014-06-01,AQUA_M-T,Cerrado,3849
210,2014-06-01,AQUA_M-T,Mata Atlântica,487
211,2014-06-01,AQUA_M-T,Pampa,53
212,2014-06-01,AQUA_M-T,Pantanal,27
213,2014-06-01,NPP-375,Amazônia,12473
214,2014-06-01,NPP-375,Caatinga,1575
215,2014-06-01,NPP-375,Cerrado,21735
216,2014-06-01,NPP-375,Mata Atlântica,3198
217,2014-06-01,NPP-375,Pampa,140
218,2014-06-01,NPP-375,Pantanal,151
219,2014-07-01,AQUA_M-T,Amazônia,2766
220,2014-07-01,AQUA_M-T,Caatinga,414
221,2014-07-01,AQUA_M-T,Cerrado,6220
222,2014-07-01,AQUA_M-T,Mata Atlântica,965
223,2014-07-01,AQUA_M-T,Pampa,74
224,2014-07-01,AQUA_M-T,Pantanal,90
225,2014-07-01,NPP-375,Amazônia,19925
226,2014-07-01,NPP-375,Caatinga,3416
227,2014-07-01,NPP-375,Cerrado,39451
228,2014-07-01,NPP-375,Mata Atlântica,5537
229,2014-07-01,NPP-375,Pampa,333
230,2014-07-01,NPP-375,Pantanal,465
231,2014-08-01,AQUA_M-T,Amazônia,20113
232,2014-08-01,AQUA_M-T,Caatinga,907
233,2014-08-01,AQUA_M-T,Cerrado,15525
234,2014-08-01,AQUA_M-T,Mata Atlântica,3912
235,2014-08-01,AQUA_M-T,Pampa,254
236,2014-08-01,AQUA_M-T,Pantanal,134
237,2014-08-01,NPP-375,Amazônia,125639
238,2014-08-01,NPP-375,Caatinga,7871
239,2014-08-01,NPP-375,Cerrado,110784
240,2014-08-01,NPP-375,Mata Atlântica,19800
241,2014-08-01,NPP-375,Pampa,1189
242,2014-08-01,NPP-375,Pantanal,776
243,2014-09-01,AQUA_M-T,Amazônia,20522
244,2014-09-01,AQUA_M-T,Caatinga,2079
245,2014-09-01,AQUA_M-T,Cerrado,15523
246,2014-09-01,AQUA_M-T,Mata Atlântica,3493
247,2014-09-01,AQUA_M-T,Pampa,57
248,2014-09-01,AQUA_M-T,Pantanal,375
249,2014-09-01,NPP-375,Amazônia,127433
250,2014-09-01,NPP-375,Caatinga,14148
251,2014-09-01,NPP-375,Cerrado,140197
252,2014-09-01,NPP-375,Mata Atlântica,20366
253,2014-09-01,NPP-375,Pampa,273
254,2014-09-01,NPP-375,Pantanal,1855
255,2014-10-01,AQUA_M-T,Amazônia,13222
256,2014-10-01,AQUA_M-T,Caatinga,2324
257,2014-10-01,AQUA_M-T,Cerrado,16357
258,2014-10-01,AQUA_M-T,Mata Atlântica,4171
259,2014-10-01,AQUA_M-T,Pampa,39
260,2014-10-01,AQUA_M-T,Pantanal,459
261,2014-10-01,NPP-375,Amazônia,86488
262,2014-10-01,NPP-375,Caatinga,15232
263,2014-10-01,NPP-375,Cerrado,145271
264,2014-10-01,NPP-375,Mata Atlântica,29907
265,2014-10-01,NPP-375,Pampa,347
266,2014-10-01,NPP-375,Pantanal,3537
267,2014-11-01,AQUA_M-T,Amazônia,12169
268,2014-11-01,AQUA_M-T,Caatinga,1762
269,2014-11-01,AQUA_M-T,Cerrado,3085
270,2014-11-01,AQUA_M-T,Mata Atlântica,432
271,2014-11-01,AQUA_M-T,Pampa,35
272,2014-11-01,AQUA_M-T,Pantanal,184
273,2014-11-01,NPP-375,Amazônia,66106
274,2014-11-01,NPP-375,Caatinga,11442
275,2014-11-01,NPP-375,Cerrado,21417
276,2014-11-01,NPP-375,Mata Atlântica,5483
277,2014-11-01,NPP-375,Pampa,317
278,2014-11-01,NPP-375,Pantanal,1274
279,2014-12-01,AQUA_M-T,Amazônia,7773
280,2014-12-01,AQUA_M-T,Caatinga,1163
281,2014-12-01,AQUA_M-T,Cerrado,1363
282,2014-12-01,AQUA_M-T,Mata Atlântica,366
283,2014-12-01,AQUA_M-T,Pampa,21
284,2014-12-01,AQUA_M-T,Pantanal,37
285,2014-12-01,NPP-375,Amazônia,42769
286,2014-12-01,NPP-375,Caatinga,7287
287,2014-12-01,NPP-375,Cerrado,7776
288,2014-12-01,NPP-375,Mata Atlântica,3056
289,2014-12-01,NPP-375,Pampa,200
290,2014-12-01,NPP-375,Pantanal,248
291,2015-01-01,AQUA_M-T,Amazônia,2042
292,2015-01-01,AQUA_M-T,Caatinga,428
293,2015-01-01,AQUA_M-T,Cerrado,1096
294,2015-01-01,AQUA_M-T,Mata Atlântica,642
295,2015-01-01,AQUA_M-T,Pampa,14
296,2015-01-01,AQUA_M-T,Pantanal,95
297,2015-01-01,NPP-375,Amazônia,13098
298,2015-01-01,NPP-375,Caatinga,4549
299,2015-01-01,NPP-375,Cerrado,7467
300,2015-01-01,NPP-375,Mata Atlântica,7186
301,2015-01-01,NPP-375,Pampa,105
302,2015-01-01,NPP-375,Pantanal,823
